,TIME,PDCSAP_FLUX
178,1956.0369071476189,387934.75
179,1956.0382960390473,387829.16
180,1956.0396849304611,387822.34
181,1956.0410738218752,387918.06
182,1956.0424627132893,387853.44
183,1956.0438516047034,387985.44
184,1956.0452404961027,387876.25
185,1956.046629387502,388090.9
186,1956.0480182789015,387966.97
187,1956.0494071703015,388003.12
188,1956.0507960616872,387987.16
189,1956.0521849530721,387919.75
190,1956.0535738444569,387974.5
191,1956.0549627358412,387914.28
192,1956.056351627211,387933.0
193,1956.057740518581,387911.94
194,1956.0591294099513,387955.12
195,1956.0605183013217,387925.16
196,1956.0619071926776,388011.53
197,1956.0632960840478,388215.8
198,1956.0646849754037,387931.47
199,1956.0660738667448,387808.25
200,1956.0674627581006,387955.94
201,1956.068851649442,388053.97
202,1956.070240540783,388056.06
