Obj ID,BLS Max Pow,ACF Max Pow,Max SD,AvgMax SD,Times Smoothed,Flag,Classification,SD Range,Filename
TIC 350479101,502.51503645361436,0.2873011107915215,8,8,1,,EB,[8.48493267 8.22402996 8.51508083 8.32066558 8.41402393],/astro/store/epyc2/projects2/tess/sector013/tess2019169103026-s0013-0000000350479101-0146-s_lc.fits
TIC 31653503,5785.300129088341,0.24223222730485555,4,4,0,,EB,[4.1690254 4.1874533 4.208995  4.17801   4.1961565],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000031653503-0120-s_lc.fits
TIC 31653503,4988.515463061557,0.4532010349884645,5,5,0,,EB,[5.1223106 5.1355333 5.147521  5.098458  5.1114664],/astro/store/epyc2/projects2/tess/sector002/tess2018234235059-s0002-0000000031653503-0121-s_lc.fits
TIC 31653503,4831.972068609897,0.42675708070139023,4,4,0,,EB,[4.525293  4.5439677 4.5596433 4.5382457 4.5384073],/astro/store/epyc2/projects2/tess/sector003/tess2018263035959-s0003-0000000031653503-0123-s_lc.fits
TIC 141809359,181.21768384623297,0.09598037276883928,13,12,0,,EB,[13.159943  11.924274  13.464799  13.145528  12.2873335],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000141809359-0120-s_lc.fits
TIC 141809359,268.0803533093888,0.20965220872952905,10,9,0,,notEB,[ 9.859584  9.83529  10.468568  9.233056  9.900355],/astro/store/epyc2/projects2/tess/sector002/tess2018234235059-s0002-0000000141809359-0121-s_lc.fits
TIC 141809359,31.032777328329647,0.007448082725399849,7,6,1,,notEB,[6.04136074 5.9795809  7.59001513 4.44808994 6.14504141],/astro/store/epyc2/projects2/tess/sector002/tess2018234235059-s0002-0000000141809359-0121-s_lc.fits
TIC 141809359,265.6421046713856,0.2035776495872314,9,8,0,,notEB,[8.739674  8.964521  9.5562935 8.90649   8.570213 ],/astro/store/epyc2/projects2/tess/sector003/tess2018263035959-s0003-0000000141809359-0123-s_lc.fits
TIC 141809359,146.09741591596529,0.1111166753629202,10,9,1,,EB,[ 8.77102153  9.13932595 10.10866146  9.04426978  8.49344087],/astro/store/epyc2/projects2/tess/sector003/tess2018263035959-s0003-0000000141809359-0123-s_lc.fits
TIC 141809359,55.408699529673854,0.05194518497244832,8,6,0,,notEB,[6.094137  6.476298  8.140949  6.486977  5.5310163],/astro/store/epyc2/projects2/tess/sector004/tess2018292075959-s0004-0000000141809359-0124-s_lc.fits
TIC 141809359,140.74059356581992,0.1095936045384841,12,12,0,,EB,[12.206302 11.95168  12.722813 12.434367 11.69316 ],/astro/store/epyc2/projects2/tess/sector005/tess2018319095959-s0005-0000000141809359-0125-s_lc.fits
TIC 141809359,236.44706979439044,0.20172635098270766,9,8,0,,notEB,[8.689363 8.538652 9.211359 8.512005 8.63272 ],/astro/store/epyc2/projects2/tess/sector006/tess2018349182459-s0006-0000000141809359-0126-s_lc.fits
TIC 141809359,46.02895994799882,0.028705264061150506,7,6,1,,notEB,[6.5212541  6.11882336 7.91510117 6.04766787 6.37000496],/astro/store/epyc2/projects2/tess/sector006/tess2018349182459-s0006-0000000141809359-0126-s_lc.fits
TIC 141809359,213.7743071462903,0.19339670358824604,9,9,0,,notEB,[8.927408 9.166939 9.615524 9.43243  8.745454],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000141809359-0131-s_lc.fits
TIC 141809359,73.88879086974245,0.06539737298669851,9,8,1,,EB,[8.14197019 8.64592894 9.58973138 9.20451016 7.75914624],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000141809359-0131-s_lc.fits
TIC 141809359,162.37345401380978,0.02972993381381892,11,11,0,,EB,[11.173131 11.257092 11.895187 10.857032 10.964361],/astro/store/epyc2/projects2/tess/sector008/tess2019032160000-s0008-0000000141809359-0136-s_lc.fits
TIC 141809359,61.58550887548483,0.09364501375797728,12,12,0,,EB,[11.01247  12.141091 12.736523 12.062313 11.581949],/astro/store/epyc2/projects2/tess/sector010/tess2019085135100-s0010-0000000141809359-0140-s_lc.fits
TIC 141809359,213.61545112005024,0.21336969310970005,10,9,0,,notEB,[ 9.593724  9.865319 10.356107 10.100333  9.869309],/astro/store/epyc2/projects2/tess/sector011/tess2019112060037-s0011-0000000141809359-0143-s_lc.fits
