,Obj ID,BLS Max Pow,ACF Max Pow,Max SD,AvgMax SD,Times Smoothed,Flag,Classification,SD Range,Filename
2143,TIC 258462158,241.60625940476038,0.19341178209472837,4,3,0,,notEB,[2.5224717 2.7546775 4.12644   3.1223953 3.133864 ],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000258462158-0177-s_lc.fits
2144,TIC 259126645,15926.872563048113,0.3517764497001387,5,5,0,,EB,[5.5884233 5.5936017 5.606197  5.5935426 5.6028986],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000259126645-0177-s_lc.fits
2145,TIC 258873063,297.62235627285713,0.1024901403182128,3,3,0,,notEB,[3.092382  2.9388447 3.2725956 3.0596294 3.0539978],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000258873063-0177-s_lc.fits
2146,TIC 258873063,79.84478531637967,0.035612396494355394,5,4,1,,notEB,[4.10315336 3.68090106 5.62708098 4.91922488 5.17639562],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000258873063-0177-s_lc.fits
2147,TIC 230005512,1843.5483328361959,0.21725114490408756,8,8,0,,EB,[8.346311 8.199512 8.055248],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000230005512-0177-s_lc.fits
2148,TIC 233532554,26036.00859264605,0.5544677547420125,3,3,0,,EB,[3.863041  3.8597808 3.8658807 3.8632278 3.8639896],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000233532554-0177-s_lc.fits
2149,TIC 233738458,4272.651877115472,0.004117795030223929,14,14,0,,EB,[14.374228 14.319222 14.416915 14.369998 14.388604],/astro/store/epyc2/projects2/tess/sector024/tess2020106103520-s0024-0000000233738458-0180-s_lc.fits
2150,TIC 230114503,220.13452743590744,0.29962253663957156,8,8,0,,notEB,[8.290053 8.466715 8.653315 8.195028 8.007791],/astro/store/epyc2/projects2/tess/sector024/tess2020106103520-s0024-0000000230114503-0180-s_lc.fits
2151,TIC 230114503,211.0703524890405,0.3025052973088007,9,8,1,,EB,[8.33296458 8.11370245 9.04038104 7.87523228 8.31105462],/astro/store/epyc2/projects2/tess/sector024/tess2020106103520-s0024-0000000230114503-0180-s_lc.fits
2152,TIC 259006185,1126.604078062122,0.28206052036900514,6,6,0,,notEB,[6.302287  6.1662397 6.5130343 6.291757  6.5052133],/astro/store/epyc2/projects2/tess/sector024/tess2020106103520-s0024-0000000259006185-0180-s_lc.fits
2153,TIC 259006185,1082.1978786828824,0.229957357731792,6,6,1,,EB,[5.98445514 6.26111638 6.50944067 6.42309621 6.40896785],/astro/store/epyc2/projects2/tess/sector024/tess2020106103520-s0024-0000000259006185-0180-s_lc.fits
2154,TIC 353854078,12631.294410976148,0.7015236863450861,3,3,0,,EB,[3.5770528 3.5762258 3.588233  3.5808117 3.5797336],/astro/store/epyc2/projects2/tess/sector024/tess2020106103520-s0024-0000000353854078-0180-s_lc.fits
2155,TIC 230382377,101.47447729664235,0.14536441829610308,4,3,0,,notEB,[3.7315981 3.2994056 4.369876  3.6563566 3.9393413],/astro/store/epyc2/projects2/tess/sector024/tess2020106103520-s0024-0000000230382377-0180-s_lc.fits
2156,TIC 198242676,24001.689761893143,0.6221835978846181,4,4,0,,EB,[4.129665  4.1367626 4.1377115 4.1339808 4.131161 ],/astro/store/epyc2/projects2/tess/sector024/tess2020106103520-s0024-0000000198242676-0180-s_lc.fits
2157,TIC 233721916,370.335030409683,0.004784458408971351,33,14,0,,EB,[ 0.03639589 15.473776   33.357513   22.46999     1.4026167 ],/astro/store/epyc2/projects2/tess/sector024/tess2020106103520-s0024-0000000233721916-0180-s_lc.fits
2158,TIC 288471108,168.68909830342616,0.3475338121107722,7,5,0,,notEB,[6.072405  4.5570536 7.1376905 5.6844397 5.980106 ],/astro/store/epyc2/projects2/tess/sector024/tess2020106103520-s0024-0000000288471108-0180-s_lc.fits
2159,TIC 288471108,158.89436438101063,0.23910904087250617,7,5,1,,notEB,[6.08211926 4.36458397 7.28650309 5.6410639  5.9749062 ],/astro/store/epyc2/projects2/tess/sector024/tess2020106103520-s0024-0000000288471108-0180-s_lc.fits
2160,TIC 288471108,147.93207909157104,0.18347409364714493,7,5,2,,notEB,[5.94814961 4.14491114 7.21263091 5.48508606 5.83558673],/astro/store/epyc2/projects2/tess/sector024/tess2020106103520-s0024-0000000288471108-0180-s_lc.fits
2161,TIC 233727422,1269.337078633588,0.006778974108187343,32,11,0,,EB,[21.666979    0.88376695 32.35678     0.07597528  0.06519242],/astro/store/epyc2/projects2/tess/sector024/tess2020106103520-s0024-0000000233727422-0180-s_lc.fits
2162,TIC 237277760,23563.735609393963,0.4476835495496977,4,4,0,,EB,[4.7014117 4.7270865 4.7469482 4.7284265 4.709283 ],/astro/store/epyc2/projects2/tess/sector024/tess2020106103520-s0024-0000000237277760-0180-s_lc.fits
2163,TIC 160618494,2046.808873903913,0.2779491811733637,8,8,0,,EB,[8.263312 8.395101 8.408711 8.308233 8.202876],/astro/store/epyc2/projects2/tess/sector024/tess2020106103520-s0024-0000000160618494-0180-s_lc.fits
2164,TIC 394130313,387.79663244079603,0.15935920404253576,3,3,0,,notEB,[2.9172335 3.0710006 3.3850892 2.8821576 3.3055484],/astro/store/epyc2/projects2/tess/sector024/tess2020106103520-s0024-0000000394130313-0180-s_lc.fits
2165,TIC 198242678,26018.993238571235,0.6370853314314451,4,4,0,,EB,[4.1510105 4.1511984 4.1515613 4.1511264 4.133928 ],/astro/store/epyc2/projects2/tess/sector024/tess2020106103520-s0024-0000000198242678-0180-s_lc.fits
2166,TIC 237200747,155.08176890536458,0.10787337872013535,10,9,0,,notEB,[ 8.794731  8.688949 10.588366  9.091663  8.421512],/astro/store/epyc2/projects2/tess/sector024/tess2020106103520-s0024-0000000237200747-0180-s_lc.fits
2167,TIC 237200747,164.53084779461977,0.15726829650921006,11,10,1,,EB,[ 9.97187532  9.85783241 11.90457231 10.29199372  9.57108285],/astro/store/epyc2/projects2/tess/sector024/tess2020106103520-s0024-0000000237200747-0180-s_lc.fits
2168,TIC 441739153,3011.2174424876343,0.353741650095792,5,5,0,,EB,[5.642514  5.687889  5.741088  5.5748982 5.702277 ],/astro/store/epyc2/projects2/tess/sector024/tess2020106103520-s0024-0000000441739153-0180-s_lc.fits
2169,TIC 230080609,166.22733122114337,0.1048592070783601,3,3,0,,notEB,[2.9986982 3.297813  3.429109  3.2344766 3.0993278],/astro/store/epyc2/projects2/tess/sector024/tess2020106103520-s0024-0000000230080609-0180-s_lc.fits
2170,TIC 233060062,985.7214696289722,0.008295227105278816,32,13,0,,EB,[ 0.03419718 14.666311   32.70949    21.98172     0.80801946],/astro/store/epyc2/projects2/tess/sector024/tess2020106103520-s0024-0000000233060062-0180-s_lc.fits
2171,TIC 229686919,122.39094633476147,0.14331679311274811,7,3,0,,notEB,[1.0892395 4.964259  7.850621  2.734128  1.0864253],/astro/store/epyc2/projects2/tess/sector024/tess2020106103520-s0024-0000000229686919-0180-s_lc.fits
2172,TIC 219771660,101.66305260537344,0.20554783743360788,8,6,0,,notEB,[6.526834  7.0824914 8.01506   6.9621253 5.861067 ],/astro/store/epyc2/projects2/tess/sector024/tess2020106103520-s0024-0000000219771660-0180-s_lc.fits
2173,TIC 219771660,86.49565806681919,0.15847786674931594,8,6,1,,notEB,[6.43209658 7.05176545 8.09176625 6.91753322 5.68963338],/astro/store/epyc2/projects2/tess/sector024/tess2020106103520-s0024-0000000219771660-0180-s_lc.fits
2174,TIC 367838105,174.45173956963168,0.12068405072401676,3,3,0,,notEB,[3.144225  3.1892698 3.4779053 3.0616183 3.0386083],/astro/store/epyc2/projects2/tess/sector024/tess2020106103520-s0024-0000000367838105-0180-s_lc.fits
2175,TIC 230070344,136.64074091738962,0.1305526205485784,3,3,0,,notEB,[3.478608  3.7894773 3.8554885 3.2924516 3.6898894],/astro/store/epyc2/projects2/tess/sector024/tess2020106103520-s0024-0000000230070344-0180-s_lc.fits
2176,TIC 230070344,61.329924459712736,0.11686386582448202,4,3,1,,notEB,[3.01001317 3.96864574 4.06112651 2.63461555 2.77069719],/astro/store/epyc2/projects2/tess/sector024/tess2020106103520-s0024-0000000230070344-0180-s_lc.fits
2177,TIC 377307592,5183.137180125436,0.4020824773010553,3,3,0,,EB,[3.6064954 3.6003258 3.6291409 3.6107621 3.596594 ],/astro/store/epyc2/projects2/tess/sector024/tess2020106103520-s0024-0000000377307592-0180-s_lc.fits
2178,TIC 232625701,247.58788711659852,0.10075925080002761,3,3,0,,notEB,[3.434904  2.9013429 3.597774  3.1336782 2.7661233],/astro/store/epyc2/projects2/tess/sector024/tess2020106103520-s0024-0000000232625701-0180-s_lc.fits
2179,TIC 420114772,335.7247596934586,0.21195799564876353,6,6,0,,notEB,[6.047833  5.8213005 6.7035193 6.413692  6.0794644],/astro/store/epyc2/projects2/tess/sector024/tess2020106103520-s0024-0000000420114772-0180-s_lc.fits
2180,TIC 420114772,306.7392245540968,0.1556570439983236,6,6,1,,notEB,[6.18977793 6.37974687 6.85393587 6.09071008 5.64338807],/astro/store/epyc2/projects2/tess/sector024/tess2020106103520-s0024-0000000420114772-0180-s_lc.fits
2181,TIC 353894978,4609.919568984808,0.37140322293497924,4,4,0,,EB,[4.337494  4.368108  4.3704443 4.3581905 4.3388486],/astro/store/epyc2/projects2/tess/sector024/tess2020106103520-s0024-0000000353894978-0180-s_lc.fits
2182,TIC 219878176,3495.025962432911,0.015314288474313755,5,4,0,,EB,[4.996873 5.020426 5.013707 4.97074 ],/astro/store/epyc2/projects2/tess/sector024/tess2020106103520-s0024-0000000219878176-0180-s_lc.fits
2183,TIC 233720276,28266.854812406553,0.3481614018950771,4,4,0,,EB,[4.2207856 4.2348332 4.2430663 4.241169  4.218901 ],/astro/store/epyc2/projects2/tess/sector024/tess2020106103520-s0024-0000000233720276-0180-s_lc.fits
2184,TIC 258351350,11480.604290739884,0.282745133350012,3,3,0,,EB,[3.3150852 3.3311963 3.3712814 3.3519244 3.2445252],/astro/store/epyc2/projects2/tess/sector024/tess2020106103520-s0024-0000000258351350-0180-s_lc.fits
2185,TIC 424439457,973.4230471086064,0.20507115274857673,13,12,0,,EB,[13.0065775 12.76299   13.072764  12.787042  12.91266  ],/astro/store/epyc2/projects2/tess/sector024/tess2020106103520-s0024-0000000424439457-0180-s_lc.fits
2186,TIC 233006012,1309.4952882369284,0.07089944538524157,5,5,0,,notEB,[5.138561  5.4044147 5.4134727 5.098044  5.1415734],/astro/store/epyc2/projects2/tess/sector024/tess2020106103520-s0024-0000000233006012-0180-s_lc.fits
2187,TIC 229434204,115.16480124581939,0.1497975118835875,5,5,0,,notEB,[5.2670236 5.509925  5.8705516 5.58799   5.5269647],/astro/store/epyc2/projects2/tess/sector024/tess2020106103520-s0024-0000000229434204-0180-s_lc.fits
2188,TIC 441804568,113.36727367558514,0.06169843060779617,6,4,0,,notEB,[4.1012774 2.567795  6.9373894 6.27246   2.2564478],/astro/store/epyc2/projects2/tess/sector024/tess2020106103520-s0024-0000000441804568-0180-s_lc.fits
2189,TIC 232629077,2149.078990080539,0.5773714207082847,5,5,0,,EB,[5.601648  5.641472  5.6823006 5.6768336 5.597541 ],/astro/store/epyc2/projects2/tess/sector024/tess2020106103520-s0024-0000000232629077-0180-s_lc.fits
2190,TIC 356820646,4295.602395457832,0.30407977706055805,3,3,0,,EB,[3.0282102 3.033831  3.1055849 3.0441818 3.0588105],/astro/store/epyc2/projects2/tess/sector024/tess2020106103520-s0024-0000000356820646-0180-s_lc.fits
2191,TIC 383622786,159.6277830017737,0.28351934973814114,7,4,0,,notEB,[4.7251787 3.1054587 7.0705094 2.4220545 5.518729 ],/astro/store/epyc2/projects2/tess/sector024/tess2020106103520-s0024-0000000383622786-0180-s_lc.fits
2192,TIC 377104904,1290.1745032602134,0.25195124183654904,8,7,0,,notEB,[8.184822  7.937338  7.8668184],/astro/store/epyc2/projects2/tess/sector024/tess2020106103520-s0024-0000000377104904-0180-s_lc.fits
2193,TIC 377104904,387.87042737061296,0.1281745231840884,3,3,1,,notEB,[3.63819318 3.52121558 3.8115847  3.61232624 3.42507908],/astro/store/epyc2/projects2/tess/sector024/tess2020106103520-s0024-0000000377104904-0180-s_lc.fits
