Filename,Unnamed: 0,Obj ID,BLS Max Pow,ACF Max Pow,Max SD,AvgMax SD,Times Smoothed,Flag,Classification,SD Range
/astro/store/epyc2/projects2/tess/sector016/tess2019253231442-s0016-0000000229776076-0152-s_lc.fits,1515,TIC 229776076,7029.691847972646,0.2429239439296385,6,6,0,,EB,[6.6572256 6.668824  6.6998687 6.666072  6.673473 ]
/astro/store/epyc2/projects2/tess/sector016/tess2019253231442-s0016-0000000229786139-0152-s_lc.fits,1520,TIC 229786139,386.95132739789307,0.15415982249826599,3,3,0,,notEB,[3.5981228 3.1290417 3.855017  3.3438654 3.2606413]
/astro/store/epyc2/projects2/tess/sector016/tess2019253231442-s0016-0000000229914020-0152-s_lc.fits,1467,TIC 229914020,129.9999229631523,0.06661322553097539,6,5,1,,notEB,[5.1060193  5.73634025 6.26856599 4.39305579 5.89526686]
/astro/store/epyc2/projects2/tess/sector016/tess2019253231442-s0016-0000000232621005-0152-s_lc.fits,1454,TIC 232621005,448.15154272325873,0.09600988607557004,3,3,0,,notEB,[3.4848108 3.4779081 3.90714   3.4343574 3.5997748]
/astro/store/epyc2/projects2/tess/sector016/tess2019253231442-s0016-0000000232625701-0152-s_lc.fits,1509,TIC 232625701,246.9278427902353,0.1076843713670512,3,3,0,,notEB,[3.124434  3.2220662 3.2758708 3.0190709 3.2271333]
/astro/store/epyc2/projects2/tess/sector016/tess2019253231442-s0016-0000000232629077-0152-s_lc.fits,1506,TIC 232629077,1742.6848457127294,0.5819098059434502,4,4,0,,EB,[4.805212  4.758452  4.8233566 4.792036  4.7810583]
/astro/store/epyc2/projects2/tess/sector016/tess2019253231442-s0016-0000000232682645-0152-s_lc.fits,1483,TIC 232682645,127.03506086285135,0.2913415663591886,5,5,0,,notEB,[5.3810616 5.397195  5.7174735 5.3402457 5.0505757]
/astro/store/epyc2/projects2/tess/sector016/tess2019253231442-s0016-0000000233006012-0152-s_lc.fits,1505,TIC 233006012,119.22928745765779,0.17781622530391286,5,4,0,,notEB,[3.7329173 4.6624513 5.4550366 4.6202207]
/astro/store/epyc2/projects2/tess/sector016/tess2019253231442-s0016-0000000233045685-0152-s_lc.fits,1521,TIC 233045685,175.16421047125945,0.477022445808433,3,3,0,,notEB,[2.7800245 3.0546377 3.6449935 3.0746648 3.204394 ]
/astro/store/epyc2/projects2/tess/sector016/tess2019253231442-s0016-0000000233076309-0152-s_lc.fits,1487,TIC 233076309,100.02968970733716,0.07845678199786456,7,6,0,,notEB,[6.996822  7.594225  6.784502  7.0588546]
/astro/store/epyc2/projects2/tess/sector016/tess2019253231442-s0016-0000000233211759-0152-s_lc.fits,1459,TIC 233211759,258.135133603464,0.038764014555354026,13,13,0,,EB,[13.467454 13.276274 13.874774 13.593272 13.600133]
/astro/store/epyc2/projects2/tess/sector016/tess2019253231442-s0016-0000000233532554-0152-s_lc.fits,1437,TIC 233532554,31429.896399343354,0.5662883915425518,3,3,0,,EB,[3.9321504 3.9271336 3.9349463 3.9260938 3.9264867]
/astro/store/epyc2/projects2/tess/sector016/tess2019253231442-s0016-0000000233720276-0152-s_lc.fits,1497,TIC 233720276,27581.485496812267,0.3374734432488448,4,4,0,,EB,[4.430274  4.4335237 4.4417744 4.4404974 4.420566 ]
/astro/store/epyc2/projects2/tess/sector016/tess2019253231442-s0016-0000000233721425-0152-s_lc.fits,1524,TIC 233721425,150.6285449846865,0.007025540444656579,8,4,2,,notEB,[ 6.23131133 -1.19315371  8.97867416  3.53622794  3.63876743]
/astro/store/epyc2/projects2/tess/sector016/tess2019253231442-s0016-0000000233738458-0152-s_lc.fits,1492,TIC 233738458,5944.882025207896,0.3184499261215669,9,9,0,,EB,[9.680725 9.756834 9.818371 9.733603 9.811801]
/astro/store/epyc2/projects2/tess/sector016/tess2019253231442-s0016-0000000236785731-0152-s_lc.fits,1491,TIC 236785731,2312.7975429641847,0.3195382845008645,5,5,0,,EB,[5.0282483 5.0321774 5.1026645 4.980597  5.0844374]
/astro/store/epyc2/projects2/tess/sector016/tess2019253231442-s0016-0000000237200747-0152-s_lc.fits,1478,TIC 237200747,159.86642494049846,0.13702231721660024,11,10,0,,EB,[10.177574  10.68321   11.2678385  9.716683   9.339729 ]
/astro/store/epyc2/projects2/tess/sector016/tess2019253231442-s0016-0000000237277760-0152-s_lc.fits,1484,TIC 237277760,24543.839115348303,0.4038585500717105,5,5,0,,EB,[4.98472   5.0103893 5.0390835 5.0357785 5.0049543]
/astro/store/epyc2/projects2/tess/sector016/tess2019253231442-s0016-0000000258351350-0152-s_lc.fits,1500,TIC 258351350,11045.222931561091,0.28769930770099633,3,3,0,,EB,[3.3583717 3.3989482 3.4398875 3.4283404 3.384725 ]
/astro/store/epyc2/projects2/tess/sector016/tess2019253231442-s0016-0000000258826816-0152-s_lc.fits,1516,TIC 258826816,202.49955350536382,0.12358504453655872,8,8,0,,notEB,[8.208677  8.204209  8.439468  8.1840105 8.268209 ]
/astro/store/epyc2/projects2/tess/sector016/tess2019253231442-s0016-0000000258829052-0152-s_lc.fits,1468,TIC 258829052,332.19503898026375,0.2611105512667461,4,4,0,,notEB,[4.237425  4.0468597 4.4952016 4.248972 ]
/astro/store/epyc2/projects2/tess/sector016/tess2019253231442-s0016-0000000259006185-0152-s_lc.fits,1495,TIC 259006185,1047.2960574343267,0.20426085158644575,6,6,1,,EB,[6.54794682 6.64807493 6.72051195 6.50286306 6.4571958 ]
/astro/store/epyc2/projects2/tess/sector016/tess2019253231442-s0016-0000000259126645-0152-s_lc.fits,1445,TIC 259126645,17408.545271349918,0.3642178399655936,5,5,0,,EB,[5.583476  5.58211   5.598487  5.5729585 5.5626106]
