Filename,Unnamed: 0,Obj ID,BLS Max Pow,ACF Max Pow,Max SD,AvgMax SD,Times Smoothed,Flag,Classification,SD Range
/astro/store/epyc2/projects2/tess/sector010/tess2019085135100-s0010-0000000032150630-0140-s_lc.fits,1583,TIC 32150630,620.4659775240468,0.14870705803482992,6,6,2,,EB,[5.96120608 6.01860484 6.42538208 6.02230243 5.96078865]
/astro/store/epyc2/projects2/tess/sector010/tess2019085135100-s0010-0000000038574220-0140-s_lc.fits,1669,TIC 38574220,204.65812895164268,0.100591628955825,3,3,0,,notEB,[3.1705725 2.884546  3.2967606 2.949552  3.0429504]
/astro/store/epyc2/projects2/tess/sector010/tess2019085135100-s0010-0000000038574307-0140-s_lc.fits,1598,TIC 38574307,65.04219735465824,0.02461539913254629,3,2,0,,notEB,[3.0003562 2.7966905 3.4240513 2.9920485 2.844523 ]
/astro/store/epyc2/projects2/tess/sector010/tess2019085135100-s0010-0000000038586438-0140-s_lc.fits,1657,TIC 38586438,856.2240107544974,0.08931260730113748,5,5,1,,EB,[5.06549199 5.36508993 5.51248294 5.25532106 5.16109561]
/astro/store/epyc2/projects2/tess/sector010/tess2019085135100-s0010-0000000038846515-0140-s_lc.fits,1687,TIC 38846515,78.64730850512963,0.08743238129284646,3,0,2,,notEB,[-0.2216039  -0.16060203  3.53256058 -1.64783521  0.85800403]
/astro/store/epyc2/projects2/tess/sector010/tess2019085135100-s0010-0000000041331819-0140-s_lc.fits,1649,TIC 41331819,108.19794778518921,0.1121732590586502,7,3,0,,notEB,[1.9241968 1.2624683 7.70006   2.0733964 5.2576814]
/astro/store/epyc2/projects2/tess/sector010/tess2019085135100-s0010-0000000055404385-0140-s_lc.fits,1608,TIC 55404385,9235.568100650786,0.27875246878374965,6,6,0,,EB,[6.4509263 6.4781127 6.5102    6.4910526 6.493673 ]
/astro/store/epyc2/projects2/tess/sector010/tess2019085135100-s0010-0000000055497281-0140-s_lc.fits,1650,TIC 55497281,17882.72097923953,0.2682622759528069,10,10,0,,EB,[10.581343 10.59984  10.600248 10.596693 10.585947]
/astro/store/epyc2/projects2/tess/sector010/tess2019085135100-s0010-0000000055524055-0140-s_lc.fits,1644,TIC 55524055,782.7348290322677,0.16875527553098715,7,7,2,,EB,[7.18129234 7.39324795 7.6927152  7.44896376 7.2967376 ]
/astro/store/epyc2/projects2/tess/sector010/tess2019085135100-s0010-0000000140659980-0140-s_lc.fits,1570,TIC 140659980,751.7689792124879,0.14705032520646893,10,10,1,,EB,[10.5945411  10.5399551  10.59867349  9.78455642 10.23923956]
/astro/store/epyc2/projects2/tess/sector010/tess2019085135100-s0010-0000000141121793-0140-s_lc.fits,1631,TIC 141121793,141.58383700300368,0.037485515435249375,7,6,1,,notEB,[5.93184588 6.92740117 7.53239168 7.01972761 6.66739851]
/astro/store/epyc2/projects2/tess/sector010/tess2019085135100-s0010-0000000141268467-0140-s_lc.fits,1659,TIC 141268467,35732.27973961226,0.3803269499920801,5,5,0,,EB,[5.5067573 5.5186186 5.536672  5.522148  5.4848485]
/astro/store/epyc2/projects2/tess/sector010/tess2019085135100-s0010-0000000141622065-0140-s_lc.fits,1689,TIC 141622065,3630.1604092766884,0.4774943325496489,3,3,0,,EB,[3.1288946 3.155336  3.178195  3.158118  3.1477516]
/astro/store/epyc2/projects2/tess/sector010/tess2019085135100-s0010-0000000141685465-0140-s_lc.fits,1546,TIC 141685465,417.43836260988746,0.3163565998012236,8,8,1,,EB,[8.11926859 7.8531537  8.18372422 8.09595948 7.96916074]
/astro/store/epyc2/projects2/tess/sector010/tess2019085135100-s0010-0000000149473467-0140-s_lc.fits,1632,TIC 149473467,10586.03836613838,0.4435309836653839,3,3,0,,EB,[3.4278808 3.4366734 3.4429986 3.43932   3.431402 ]
/astro/store/epyc2/projects2/tess/sector010/tess2019085135100-s0010-0000000149603524-0140-s_lc.fits,1614,TIC 149603524,161.11983558859941,0.19443411362104726,3,1,2,,notEB,[0.32623001 0.45321363 3.99943946 1.33146198 2.92054113]
/astro/store/epyc2/projects2/tess/sector010/tess2019085135100-s0010-0000000150392584-0140-s_lc.fits,1600,TIC 150392584,85.02871496379123,0.027323549163178088,6,4,1,,notEB,[4.18303209 4.82814603 6.30871703 4.79916765 4.22762085]
