,Obj ID,BLS Max Pow,ACF Max Pow,Max SD,AvgMax SD,Times Smoothed,Flag,Classification,SD Range,Filename
3207,TIC 307985697,257.9532858592612,0.24942923261354086,18,4,0,,notEB,[ 0.43047345  0.3770867  18.545906    0.5588201   0.589973  ],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000307985697-0177-s_lc.fits
3208,TIC 307985697,61.51593094292225,0.04436248430498641,36,6,1,,notEB,"[-9.89860661e-02 -1.28817894e-01  3.68179513e+01 -1.75234195e-01
 -2.64795561e-02]",/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000307985697-0177-s_lc.fits
3209,TIC 232629077,1322.2910233294651,0.39992857552183425,6,6,0,,notEB,[6.877533  6.844088  6.9256763 6.881537  6.892166 ],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000232629077-0177-s_lc.fits
3210,TIC 232629077,2052.8712583901893,0.12786436778676635,10,9,1,,EB,[ 9.97449197  9.87303956 10.0279168   9.92868823  9.74056301],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000232629077-0177-s_lc.fits
3211,TIC 229686919,209.29252943563208,0.048563383502169426,15,4,0,,notEB,[ 1.2266514  1.2012497 15.7868     1.3696964  1.5719141],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000229686919-0177-s_lc.fits
3212,TIC 229686919,209.29252943563208,0.048563383502169426,15,4,0,,notEB,[ 1.2266514  1.2012497 15.7868     1.3696964  1.5719141],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000229686919-0177-s_lc.fits
3213,TIC 229686919,209.29252943563208,0.048563383502169426,15,4,0,,notEB,[ 1.2266514  1.2012497 15.7868     1.3696964  1.5719141],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000229686919-0177-s_lc.fits
3214,TIC 233580065,152.52831861366204,0.029813977158901873,3,2,0,,notEB,[2.849576  2.9672434 3.4933045 2.4498868 3.3086925],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000233580065-0177-s_lc.fits
3215,TIC 229776076,5299.363706672386,0.24031944110094733,7,7,0,,EB,[7.256476  7.2693915 7.286334  7.2636    7.270342 ],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000229776076-0177-s_lc.fits
