,Unnamed: 0,Obj ID,BLS Max Pow,ACF Max Pow,Max SD,AvgMax SD,Times Smoothed,Flag,Classification,SD Range,Filename
32549,32549,TIC 167692429,672.8347421443966,0.15304090722567315,11,11,1,,EB,[11.80531941 11.61937649 11.86903066 11.85541061 11.74248805],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000167692429-0131-s_lc.fits
32601,32601,TIC 260131665,38730.93246278308,0.5593455527747404,3,3,0,,EB,[3.074545  3.0770824 3.0778708 3.0747445 3.072989 ],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000260131665-0131-s_lc.fits
32626,32626,TIC 272357134,444.61317228370353,0.33269062613781003,4,4,0,,notEB,[4.6836963 4.5684485 4.978367  4.7726135 4.6351166],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000272357134-0131-s_lc.fits
32837,32837,TIC 167304735,20.174136938888658,0.5214640569835906,0,0,0,,notEB,[0.16951682 0.16348481 0.5221934  0.12285756 0.1925271 ],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000167304735-0131-s_lc.fits
33054,33054,TIC 260301896,9.68790629952218,0.22504552979087733,18,4,0,,notEB,[2.6109925e-01 3.0901483e-01 1.8932640e+01 1.7156210e-02 3.7662449e-01],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000260301896-0131-s_lc.fits
33095,33095,TIC 271596290,1948.8492824241087,0.44318855894031256,3,3,0,,EB,[3.4312341 3.442701  3.492717  3.4664373 3.3669019],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000271596290-0131-s_lc.fits
33159,33159,TIC 30313682,2299.7524879179896,0.20010943549040855,4,4,0,,EB,[4.6233315 4.5879006 4.675376  4.620371  4.6166654],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000030313682-0131-s_lc.fits
33521,33521,TIC 279955276,799.3025378786048,0.38186790731891945,3,3,0,,notEB,[3.3478904 3.3089108 3.4436076 3.3505454 3.2947202],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000279955276-0131-s_lc.fits
33523,33523,TIC 55384162,29.699945159519103,0.412763662233798,4,1,0,,notEB,[0.06941571 0.10059743 4.6078115 ],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000055384162-0131-s_lc.fits
33535,33535,TIC 150431920,49.95131702169167,0.06818995290661126,10,2,0,,notEB,[ 1.0068054   0.37212557 10.08908     0.7702618   0.39949572],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000150431920-0131-s_lc.fits
33681,33681,TIC 141809359,213.7743071462903,0.19339670358824604,9,9,0,,notEB,[8.927408 9.166939 9.615524 9.43243  8.745454],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000141809359-0131-s_lc.fits
33682,33682,TIC 141809359,73.88879086974245,0.06539737298669851,9,8,1,,EB,[8.14197019 8.64592894 9.58973138 9.20451016 7.75914624],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000141809359-0131-s_lc.fits
33794,33794,TIC 350479101,545.078868571414,0.21253444951076714,9,9,0,,notEB,[9.223998 9.349584 9.838155 9.232976 9.555849],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000350479101-0131-s_lc.fits
33795,33795,TIC 350479101,107.62991534140338,0.05979620741512926,11,10,1,,EB,[ 9.51217391  9.99894954 11.89267779  9.54697299 10.79844662],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000350479101-0131-s_lc.fits
33805,33805,TIC 55659311,107.62991534140338,0.05979620741512926,3,1,0,,notEB,[1.1105542  0.9186135  3.9491334  0.98934907 0.8748434 ],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000055659311-0131-s_lc.fits
33904,33904,TIC 349832824,1798.8530796517514,0.25855273935164297,4,4,0,,EB,[4.431959  4.5097466 4.6575656 4.6306434 4.5711207],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000349832824-0131-s_lc.fits
34134,34134,TIC 350618622,32.20242081052002,0.10074894504317472,3,2,0,,notEB,[1.5536405 2.994427  3.7162566 1.6577605 2.2205372],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000350618622-0131-s_lc.fits
34141,34141,TIC 141622065,5065.110488766063,0.5424631314908519,3,3,0,,EB,[3.159054  3.1775296 3.2145784 3.1912768 3.1709898],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000141622065-0131-s_lc.fits
34159,34159,TIC 293972244,5065.110488766063,0.5424631314908519,25,5,0,,notEB,"[ 1.9481811e-01 -7.9926550e-02  2.5008390e+01  1.3940144e-02
  6.0825342e-01]",/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000293972244-0131-s_lc.fits
34169,34169,TIC 260161144,11096.861142713724,0.3392633789828702,4,4,0,,EB,[4.5957537 4.594877  4.6110587 4.603468  4.5844674],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000260161144-0131-s_lc.fits
34213,34213,TIC 260504147,3184.028657239198,0.22426008433969208,7,7,0,,EB,[7.21402  7.223887 7.291575 7.222715 7.21354 ],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000260504147-0131-s_lc.fits
34303,34303,TIC 150442264,3371.150965398718,0.4720168201034418,3,3,0,,EB,[3.78472   3.7640116 3.8307123 3.7820895 3.7769997],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000150442264-0131-s_lc.fits
34444,34444,TIC 25133286,35.90851703790879,0.09870998218073468,2,2,0,,notEB,[2.0713942 2.0753443 2.0850353 2.059607  2.0493786],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000025133286-0131-s_lc.fits
34501,34501,TIC 278987417,35.90851703790879,0.09870998218073468,20,4,0,,notEB,[ 0.96202385  0.97879785 20.532173    1.2738317   0.95180064],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000278987417-0131-s_lc.fits
34641,34641,TIC 350518984,94.15393728111816,0.028915059633747863,3,1,0,,notEB,[0.4981578 1.1829733 3.4808018 0.5424385 1.0805136],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000350518984-0131-s_lc.fits
34645,34645,TIC 141685465,1000.7421633536912,0.2853632707657113,8,8,0,,notEB,[8.092041 8.080885 8.202194 8.166042 8.046838],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000141685465-0131-s_lc.fits
34646,34646,TIC 141685465,510.01671518132594,0.21119864621146786,9,9,1,,EB,[9.02433446 9.0006911  9.25779731 9.18117556 8.92853003],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000141685465-0131-s_lc.fits
34663,34663,TIC 279569707,1423.5690639704544,0.28182185384029923,6,6,0,,notEB,[6.089574  6.089778  6.0930595 6.0647674 6.0370865],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000279569707-0131-s_lc.fits
34664,34664,TIC 279569707,1390.123101676082,0.2692897706101509,5,5,1,,EB,[5.98349088 5.98330892 5.98635091 5.95787191 5.92985482],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000279569707-0131-s_lc.fits
34670,34670,TIC 309658221,314.48532593244585,0.1873683101463797,6,6,0,,notEB,[6.201227  6.422743  6.995333  6.413857  6.2464013],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000309658221-0131-s_lc.fits
34671,34671,TIC 309658221,61.690479327189635,0.1942817291042317,7,6,1,,notEB,[6.22524739 6.45409538 7.04784352 6.44711918 6.27755905],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000309658221-0131-s_lc.fits
34672,34672,TIC 309658221,61.690479327189635,0.1942817291042317,3,2,2,,notEB,[2.85186259 2.66446373 3.0538911  2.90674555 2.72143664],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000309658221-0131-s_lc.fits
34913,34913,TIC 382517745,635.2549798115411,0.18179782644693548,11,11,0,,EB,[11.730247 11.509594 11.7468   11.586827 11.590413],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000382517745-0131-s_lc.fits
35111,35111,TIC 140659980,273.81517262887843,0.1737900718808692,8,8,0,,notEB,[8.647593 8.504312 8.900539 8.757637 8.516139],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000140659980-0131-s_lc.fits
35112,35112,TIC 140659980,539.7715641102793,0.13828992981425745,9,9,1,,EB,[9.51207317 9.45737434 9.81519108 9.49939975 9.62736411],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000140659980-0131-s_lc.fits
35663,35663,TIC 278956474,155.62785603589816,0.1519793578693523,6,5,0,,notEB,[5.4974623 5.3415275 6.7962284 5.4900184 5.897748 ],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000278956474-0131-s_lc.fits
35664,35664,TIC 278956474,121.1511729356419,0.17219644224419986,7,7,1,,notEB,[6.73829533 6.92712167 7.83300482 7.16411446 7.03694154],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000278956474-0131-s_lc.fits
35899,35899,TIC 349055915,52.199885047162,0.12593624256929994,3,1,0,,notEB,[0.8696551  0.32167637 3.611342   0.34562537 2.1233382 ],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000349055915-0131-s_lc.fits
35917,35917,TIC 32150630,497.9405438662886,0.3839584573242679,5,5,0,,notEB,[5.289222  5.2377667 5.542385  5.455038  5.382545 ],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000032150630-0131-s_lc.fits
35918,35918,TIC 32150630,513.0406388312969,0.16680111413608548,6,6,1,,notEB,[6.02483591 6.30283972 6.45449688 6.27740149 6.22884897],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000032150630-0131-s_lc.fits
35919,35919,TIC 32150630,509.4669192928808,0.15832455270896242,6,6,2,,EB,[5.99018404 6.26714461 6.41973743 6.24330661 6.1949363 ],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000032150630-0131-s_lc.fits
36035,36035,TIC 350622185,51.68199507437431,0.11189515563893994,2,2,0,,notEB,[2.9041755 2.9257011 2.9489744 2.9390163 2.9374745],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000350622185-0131-s_lc.fits
36054,36054,TIC 350443417,8135.396044478217,0.26936263281012146,4,4,0,,EB,[4.716524  4.7197995 4.748929  4.7361035 4.710132 ],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000350443417-0131-s_lc.fits
36072,36072,TIC 278684936,8135.396044478217,0.26936263281012146,5,1,0,,notEB,[0.1800117 0.7314871 5.970021  0.4235651 2.2789538],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000278684936-0131-s_lc.fits
36089,36089,TIC 350765991,8135.396044478217,0.26936263281012146,31,6,0,,notEB,"[-3.4158193e-02 -6.1418605e-04  3.1386135e+01  1.4645975e-02
 -9.4253935e-02]",/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000350765991-0131-s_lc.fits
36118,36118,TIC 300871545,216.1162733671345,0.1287318762231836,9,8,0,,notEB,[7.979859  8.392571  9.125699  8.463131  7.5888033],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000300871545-0131-s_lc.fits
36119,36119,TIC 300871545,251.87971499789768,0.10473301050011166,9,8,1,,EB,[7.85074403 8.27996476 9.03662544 8.34491628 7.43561635],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000300871545-0131-s_lc.fits
36192,36192,TIC 55652785,1898.626161531296,0.41063832511196463,4,3,0,,EB,[3.9150507 3.8436675 4.0339108 3.9789095 3.9286115],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000055652785-0131-s_lc.fits
36223,36223,TIC 425064757,451.09689847202964,0.14943281594842073,4,4,0,,notEB,[3.6682048 4.6970143 4.9865465 4.8382416 4.7989955],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000425064757-0131-s_lc.fits
36249,36249,TIC 260416268,28.5586654609428,0.07214246834408539,4,1,0,,notEB,[0.19522092 0.25852478 4.1772375  2.241365   1.426583  ],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000260416268-0131-s_lc.fits
36347,36347,TIC 220474209,1116.56907383596,0.21634280455538052,4,4,0,,notEB,[4.577507 4.619811 4.804969 4.529071 4.478376],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000220474209-0131-s_lc.fits
36348,36348,TIC 220474209,1034.4811036664141,0.1514472393476022,5,4,1,,EB,[4.98515185 4.68673434 5.14867457 4.99686807 4.79090098],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000220474209-0131-s_lc.fits
36365,36365,TIC 167121012,1034.4811036664141,0.1514472393476022,5,2,0,,notEB,[1.0386777 1.5134513 5.727158  0.8126217 1.2195957],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000167121012-0131-s_lc.fits
36537,36537,TIC 55404385,8390.770969907639,0.2336748097158112,6,6,0,,EB,[6.44309   6.4638534 6.4735913 6.4552374 6.3866687],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000055404385-0131-s_lc.fits
36572,36572,TIC 350298314,1737.0656995721326,0.2720821470018555,10,10,0,,EB,[10.32166  10.304701 10.392676 10.347775 10.255536],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000350298314-0131-s_lc.fits
36757,36757,TIC 358111274,253.49053660363444,0.21868933841296306,3,1,0,,notEB,[0.8306439 1.2060074 3.8965707 0.62401   2.733362 ],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000358111274-0131-s_lc.fits
36787,36787,TIC 25078924,815.1461632053087,0.47765330814848,3,3,0,,notEB,[3.1061077 3.1589684 3.209069  3.2002106 2.9908621],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000025078924-0131-s_lc.fits
36788,36788,TIC 25078924,662.0108481083179,0.15263055943074794,5,5,1,,notEB,[5.7659563  5.7950659  5.97605066 5.76379028 5.71413354],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000025078924-0131-s_lc.fits
36789,36789,TIC 25078924,672.987702689743,0.13548674799592764,5,5,2,,EB,[5.78587638 5.81545983 5.99939067 5.78367511 5.73538552],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000025078924-0131-s_lc.fits
36941,36941,TIC 260502102,385.7667385423956,0.19052277529046266,8,8,0,,notEB,[8.478647 8.607408 8.637003 8.557071 8.521616],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000260502102-0131-s_lc.fits
36942,36942,TIC 260502102,326.58944543670776,0.16273609738404676,9,9,1,,EB,[9.0503587  9.01360642 9.30125217 9.01583609 9.20312873],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000260502102-0131-s_lc.fits
36950,36950,TIC 404927661,687.5406683546132,0.02201817306092677,10,9,0,,notEB,[ 9.929953  9.952285 10.07804   9.739025  9.898058],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000404927661-0131-s_lc.fits
36951,36951,TIC 404927661,91.09791733674952,0.02496238699387528,11,10,1,,EB,[10.83211665 10.89370177 11.24049209 10.30560169 10.7441614 ],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000404927661-0131-s_lc.fits
37014,37014,TIC 150187916,91.09791733674952,0.02496238699387528,1,1,0,,notEB,[1.7921537 1.7453064 1.9835665 1.6507431 1.7640188],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000150187916-0131-s_lc.fits
37078,37078,TIC 364302118,670.0653119509117,0.325086111597633,4,4,0,,notEB,[4.2125998 4.1170454 4.395506  4.028529  4.065362 ],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000364302118-0131-s_lc.fits
37079,37079,TIC 364302118,559.5635836225962,0.1985735270351305,4,4,1,,notEB,[4.26846534 3.96121046 4.74124578 4.13029775 4.42349623],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000364302118-0131-s_lc.fits
37080,37080,TIC 364302118,530.1335919098204,0.17328985601734845,4,4,2,,EB,[4.38179538 4.0347271  4.85339075 4.23678555 4.54450359],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000364302118-0131-s_lc.fits
37192,37192,TIC 177075997,76.69049298162129,0.025243904913102716,5,1,0,,notEB,[1.0336151 0.2957432 5.333781  0.7635079 1.8149568],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000177075997-0131-s_lc.fits
37224,37224,TIC 149473467,9745.69693662838,0.4365138934931018,3,3,0,,EB,[3.453405  3.447846  3.4597557 3.4269197 3.4314675],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000149473467-0131-s_lc.fits
37342,37342,TIC 55295028,27.75353979489048,0.096673139998376,2,2,0,,notEB,[2.2305086 2.518234  2.68376   2.5385928 2.2879512],/astro/store/epyc2/projects2/tess/sector008/tess2019032160000-s0008-0000000055295028-0136-s_lc.fits
37388,37388,TIC 167304735,28.624148419406072,0.16017746862080265,21,4,0,,notEB,[ 0.09836327  0.1153824  21.190557    0.4152302   0.581487  ],/astro/store/epyc2/projects2/tess/sector008/tess2019032160000-s0008-0000000167304735-0136-s_lc.fits
37484,37484,TIC 260301896,51.71534349402771,0.08355356839985054,5,2,0,,notEB,[0.01601457 0.01734912 5.393707  ],/astro/store/epyc2/projects2/tess/sector008/tess2019032160000-s0008-0000000260301896-0136-s_lc.fits
37585,37585,TIC 260131665,30818.89035200041,0.7976309513150733,3,3,0,,EB,[3.1179562 3.118173  3.1237237 3.1177707 3.1214352],/astro/store/epyc2/projects2/tess/sector008/tess2019032160000-s0008-0000000260131665-0136-s_lc.fits
37670,37670,TIC 167692429,1170.9344653647756,0.18907298717330012,7,7,0,,notEB,[7.405514  7.437508  7.463802  7.2520723 7.310862 ],/astro/store/epyc2/projects2/tess/sector008/tess2019032160000-s0008-0000000167692429-0136-s_lc.fits
37671,37671,TIC 167692429,1044.160883082949,0.30744596188660805,8,8,1,,EB,[8.09067371 8.12559828 8.15445445 7.92339645 7.98757124],/astro/store/epyc2/projects2/tess/sector008/tess2019032160000-s0008-0000000167692429-0136-s_lc.fits
37712,37712,TIC 141268467,30634.80395377399,0.3456785759044757,5,5,0,,EB,[5.109151  5.1418486 5.1582565 5.154194  5.1445255],/astro/store/epyc2/projects2/tess/sector008/tess2019032160000-s0008-0000000141268467-0136-s_lc.fits
37902,37902,TIC 272357134,507.269919099336,0.21183219042226548,4,4,0,,notEB,[4.8394775 4.3445826 4.895666  4.411149  4.6840477],/astro/store/epyc2/projects2/tess/sector008/tess2019032160000-s0008-0000000272357134-0136-s_lc.fits
37966,37966,TIC 294092966,594.8679090670921,0.6087761813575624,3,3,0,,notEB,[3.4258678 3.3760176 3.6523378 3.4044497 3.4487336],/astro/store/epyc2/projects2/tess/sector008/tess2019032160000-s0008-0000000294092966-0136-s_lc.fits
37967,37967,TIC 294092966,164.68083585770026,0.09357542283105552,9,9,1,,EB,[9.08193956 8.77353604 9.73148004 9.06336533 9.01500099],/astro/store/epyc2/projects2/tess/sector008/tess2019032160000-s0008-0000000294092966-0136-s_lc.fits
37983,37983,TIC 31273263,164.68083585770026,0.09357542283105552,2,1,0,,notEB,[1.3298024 0.9057755 2.0535476 1.0834467 1.1590872],/astro/store/epyc2/projects2/tess/sector008/tess2019032160000-s0008-0000000031273263-0136-s_lc.fits
38170,38170,TIC 370227780,15.446699960048006,0.1594889320705187,1,1,0,,notEB,[1.5826305 1.4894068 1.7929988 1.5094281 1.545362 ],/astro/store/epyc2/projects2/tess/sector008/tess2019032160000-s0008-0000000370227780-0136-s_lc.fits
38178,38178,TIC 38586438,569.576647393201,0.1102655286667448,5,5,0,,notEB,[5.1160164 5.258974  5.3524966 5.1827755 5.1005096],/astro/store/epyc2/projects2/tess/sector008/tess2019032160000-s0008-0000000038586438-0136-s_lc.fits
38179,38179,TIC 38586438,624.2578770568089,0.12704247955907433,5,5,1,,notEB,[5.16000182 5.30184594 5.39196669 5.21719193 5.13247651],/astro/store/epyc2/projects2/tess/sector008/tess2019032160000-s0008-0000000038586438-0136-s_lc.fits
38180,38180,TIC 38586438,605.9162687796482,0.10663433991476123,5,5,2,,EB,[5.18228773 5.32820091 5.42090694 5.24111844 5.1539728 ],/astro/store/epyc2/projects2/tess/sector008/tess2019032160000-s0008-0000000038586438-0136-s_lc.fits
38275,38275,TIC 177077475,72.77536307973462,0.09061166281070174,9,8,0,,notEB,[8.490043 8.106904 9.450474 8.302826 8.747919],/astro/store/epyc2/projects2/tess/sector008/tess2019032160000-s0008-0000000177077475-0136-s_lc.fits
38276,38276,TIC 177077475,72.1173674980968,0.1143534453568285,9,8,1,,EB,[8.63519778 8.24239139 9.62091091 8.44463072 8.90231462],/astro/store/epyc2/projects2/tess/sector008/tess2019032160000-s0008-0000000177077475-0136-s_lc.fits
38290,38290,TIC 55524055,584.3735143630375,0.38660082172388666,5,5,0,,notEB,[5.412123  5.475827  5.610092  5.4836717 5.36566  ],/astro/store/epyc2/projects2/tess/sector008/tess2019032160000-s0008-0000000055524055-0136-s_lc.fits
38291,38291,TIC 55524055,571.4432089027256,0.1830432321530384,7,7,1,,notEB,[7.18330333 7.28426208 7.49704768 7.2974324  7.11494112],/astro/store/epyc2/projects2/tess/sector008/tess2019032160000-s0008-0000000055524055-0136-s_lc.fits
38292,38292,TIC 55524055,551.738259570805,0.1546742901868098,7,7,2,,EB,[7.13041387 7.23375465 7.44141963 7.23709463 7.05029766],/astro/store/epyc2/projects2/tess/sector008/tess2019032160000-s0008-0000000055524055-0136-s_lc.fits
38541,38541,TIC 55497281,15838.535558732992,0.33571400892205583,7,6,0,,EB,[6.985007  6.9876194 7.001796  6.9848566 6.985109 ],/astro/store/epyc2/projects2/tess/sector008/tess2019032160000-s0008-0000000055497281-0136-s_lc.fits
38605,38605,TIC 150442264,2307.64860741399,0.4977708445342992,3,3,0,,EB,[3.772445  3.7510254 3.7921057 3.7356606 3.764484 ],/astro/store/epyc2/projects2/tess/sector008/tess2019032160000-s0008-0000000150442264-0136-s_lc.fits
38674,38674,TIC 260504147,2974.057752216939,0.1788310932246028,7,7,0,,EB,[7.357984  7.4022512 7.4135523 7.391007  7.362004 ],/astro/store/epyc2/projects2/tess/sector008/tess2019032160000-s0008-0000000260504147-0136-s_lc.fits
38709,38709,TIC 293972244,2974.057752216939,0.1788310932246028,3,1,0,,notEB,[2.099711  0.8612012 3.1169248 1.4005178 1.4222343],/astro/store/epyc2/projects2/tess/sector008/tess2019032160000-s0008-0000000293972244-0136-s_lc.fits
38721,38721,TIC 260161144,9698.496715930849,0.2790685693611049,4,4,0,,EB,[4.421827  4.427672  4.4502544 4.433768  4.429414 ],/astro/store/epyc2/projects2/tess/sector008/tess2019032160000-s0008-0000000260161144-0136-s_lc.fits
38737,38737,TIC 141622065,4216.952825729406,0.5376342732619527,3,3,0,,EB,[3.2407146 3.2267387 3.2836704 3.2658355 3.2381477],/astro/store/epyc2/projects2/tess/sector008/tess2019032160000-s0008-0000000141622065-0136-s_lc.fits
38777,38777,TIC 350618622,23.023170182910963,0.14768279585955246,3,1,0,,notEB,[0.27129403 0.59085643 3.6495404  1.8516519  1.0860381 ],/astro/store/epyc2/projects2/tess/sector008/tess2019032160000-s0008-0000000350618622-0136-s_lc.fits
38833,38833,TIC 25133286,8099.935779458021,0.20155059004787496,3,3,0,,EB,[3.0924342 3.0952384 3.1036658 3.0962355 3.0971982],/astro/store/epyc2/projects2/tess/sector008/tess2019032160000-s0008-0000000025133286-0136-s_lc.fits
39040,39040,TIC 349832824,2410.627862483813,0.2580920394634973,4,4,0,,EB,[4.609442  4.615023  4.7289057 4.7157507 4.7075143],/astro/store/epyc2/projects2/tess/sector008/tess2019032160000-s0008-0000000349832824-0136-s_lc.fits
39436,39436,TIC 55384162,9.107103631100358,0.23087990954052354,5,2,0,,notEB,[0.7347376 0.6258431 5.337098 ],/astro/store/epyc2/projects2/tess/sector008/tess2019032160000-s0008-0000000055384162-0136-s_lc.fits
39496,39496,TIC 55659311,1842.8629497009479,0.00075006578938004,8,8,0,,EB,[8.195904  8.223699  8.3047695 8.2720175 8.223556 ],/astro/store/epyc2/projects2/tess/sector008/tess2019032160000-s0008-0000000055659311-0136-s_lc.fits
39520,39520,TIC 350479101,409.95353944196063,0.16843311907869046,7,7,0,,notEB,[7.789413  7.5724297 7.8290253 7.4364915 7.8107758],/astro/store/epyc2/projects2/tess/sector008/tess2019032160000-s0008-0000000350479101-0136-s_lc.fits
39521,39521,TIC 350479101,497.4762073116391,0.1617192519215933,7,7,1,,notEB,[7.68360088 7.46610262 7.7221372  7.32984213 7.7038443 ],/astro/store/epyc2/projects2/tess/sector008/tess2019032160000-s0008-0000000350479101-0136-s_lc.fits
39522,39522,TIC 350479101,248.08178638878707,0.11086542708900908,8,8,2,,EB,[8.47193602 8.04026833 8.54841887 7.76983281 8.51211304],/astro/store/epyc2/projects2/tess/sector008/tess2019032160000-s0008-0000000350479101-0136-s_lc.fits
39642,39642,TIC 141809359,162.37345401380978,0.02972993381381892,11,11,0,,EB,[11.173131 11.257092 11.895187 10.857032 10.964361],/astro/store/epyc2/projects2/tess/sector008/tess2019032160000-s0008-0000000141809359-0136-s_lc.fits
39750,39750,TIC 30313682,1882.0312662791766,0.4085429753320589,4,4,0,,EB,[4.689985  4.687259  4.7405972 4.6246824 4.6617556],/astro/store/epyc2/projects2/tess/sector008/tess2019032160000-s0008-0000000030313682-0136-s_lc.fits
39812,39812,TIC 271596290,2087.0562399273695,0.5334257452598533,3,3,0,,EB,[3.2322464 3.1961298 3.3255124 3.2386248 3.2996237],/astro/store/epyc2/projects2/tess/sector008/tess2019032160000-s0008-0000000271596290-0136-s_lc.fits
40065,40065,TIC 278956474,117.73371343326576,0.12701084938610482,5,5,0,,notEB,[5.47075  5.078713 5.850311 5.049213 5.429495],/astro/store/epyc2/projects2/tess/sector008/tess2019032160000-s0008-0000000278956474-0136-s_lc.fits
40794,40794,TIC 382517745,327.5539264472112,0.12130612485393262,10,10,0,,EB,[ 9.991733 10.374017 10.428756 10.305416 10.317684],/astro/store/epyc2/projects2/tess/sector008/tess2019032160000-s0008-0000000382517745-0136-s_lc.fits
40964,40964,TIC 140659980,236.56568615334226,0.21401545193010074,8,7,0,,notEB,[7.843121  7.8482904 8.000344  7.8826485 7.653897 ],/astro/store/epyc2/projects2/tess/sector008/tess2019032160000-s0008-0000000140659980-0136-s_lc.fits
40965,40965,TIC 140659980,399.19330767448935,0.14655500678130992,10,10,1,,EB,[10.38529106 10.39254232 10.60583263 10.44213308 10.12260721],/astro/store/epyc2/projects2/tess/sector008/tess2019032160000-s0008-0000000140659980-0136-s_lc.fits
41018,41018,TIC 278683641,1910.481730907186,0.17065562092341313,6,6,0,,EB,[6.554376  6.520151  6.5887566 6.533572  6.553099 ],/astro/store/epyc2/projects2/tess/sector008/tess2019032160000-s0008-0000000278683641-0136-s_lc.fits
41063,41063,TIC 350518984,414.7325376272701,0.016531666172589762,12,12,0,,EB,[12.711294 12.258032 12.950086 12.556214 12.926971],/astro/store/epyc2/projects2/tess/sector008/tess2019032160000-s0008-0000000350518984-0136-s_lc.fits
