,Unnamed: 0,Obj ID,BLS Max Pow,ACF Max Pow,Max SD,AvgMax SD,Times Smoothed,Flag,Classification,SD Range,Filename
54350,54350,TIC 364302118,760.6731615050088,0.3595949601427249,4,4,0,,notEB,[3.9785097 4.1470246 4.3284645 3.982195  4.0549717],/astro/store/epyc2/projects2/tess/sector011/tess2019112060037-s0011-0000000364302118-0143-s_lc.fits
54351,54351,TIC 364302118,425.91406293607565,0.3441855641698355,4,4,1,,notEB,[4.39702399 4.62438953 4.86919436 4.40199614 4.50018875],/astro/store/epyc2/projects2/tess/sector011/tess2019112060037-s0011-0000000364302118-0143-s_lc.fits
54376,54376,TIC 150187916,44.924093040583465,0.3152004275782909,2,2,0,,notEB,[2.2189872 2.2730842 2.452086  2.2134526 2.292954 ],/astro/store/epyc2/projects2/tess/sector011/tess2019112060037-s0011-0000000150187916-0143-s_lc.fits
54467,54467,TIC 260502102,905.2239419528563,0.16184538115324176,7,7,0,,notEB,[7.303072  7.314151  7.616143  7.4325814 7.5333433],/astro/store/epyc2/projects2/tess/sector011/tess2019112060037-s0011-0000000260502102-0143-s_lc.fits
54468,54468,TIC 260502102,877.0282918838412,0.15068416415256836,7,7,1,,EB,[7.18324097 7.19644626 7.5042544  7.31715728 7.42009966],/astro/store/epyc2/projects2/tess/sector011/tess2019112060037-s0011-0000000260502102-0143-s_lc.fits
54547,54547,TIC 149473467,9517.03805555954,0.4480713106655013,3,3,0,,EB,[3.5062222 3.5265877 3.5560298 3.5485814 3.5319195],/astro/store/epyc2/projects2/tess/sector011/tess2019112060037-s0011-0000000149473467-0143-s_lc.fits
54745,54745,TIC 32150630,635.2492031571011,0.24939998449585124,6,5,0,,notEB,[5.908053  5.9366674 6.1501565 5.922333  5.597386 ],/astro/store/epyc2/projects2/tess/sector011/tess2019112060037-s0011-0000000032150630-0143-s_lc.fits
54746,54746,TIC 32150630,630.1913994528617,0.15178600446386098,6,6,1,,notEB,[6.33120726 6.36297316 6.60272434 6.35698101 6.00869246],/astro/store/epyc2/projects2/tess/sector011/tess2019112060037-s0011-0000000032150630-0143-s_lc.fits
54747,54747,TIC 32150630,630.5862040691451,0.147885223995769,6,6,2,,EB,[6.28199107 6.31104156 6.5461547  6.30188461 5.95568405],/astro/store/epyc2/projects2/tess/sector011/tess2019112060037-s0011-0000000032150630-0143-s_lc.fits
54792,54792,TIC 349055915,77.2775395074866,0.1596601708478177,3,1,0,,notEB,[0.3539082  0.16322622 3.7037165  0.6438535  1.1555572 ],/astro/store/epyc2/projects2/tess/sector011/tess2019112060037-s0011-0000000349055915-0143-s_lc.fits
54840,54840,TIC 55652785,2182.1169971085433,0.4279837476384792,3,3,0,,EB,[3.7406602 3.8075984 3.8565962 3.7074804 3.7432837],/astro/store/epyc2/projects2/tess/sector011/tess2019112060037-s0011-0000000055652785-0143-s_lc.fits
54882,54882,TIC 300871545,310.34700903984805,0.1802342435392733,8,7,0,,notEB,[7.9815836 7.380772  8.485476  7.6086016 7.631808 ],/astro/store/epyc2/projects2/tess/sector011/tess2019112060037-s0011-0000000300871545-0143-s_lc.fits
